ProjectUUID,PersonUUID,Role
7591c28f-13f6-4c81-ac92-52ffabe3c960,09ec1bda-4550-4a83-8480-fe742d77e882,Principal Investigator
98593908-ac5e-4dab-806b-d2910e712f7f,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
374a4482-efbf-4012-ac03-3f35f77be66e,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
413ee3d4-cb73-462c-9d0b-49eda39d9919,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
413ee3d4-cb73-462c-9d0b-49eda39d9919,a63425bf-3843-42e2-9039-582dddf58821,Principal Investigator
b0651758-d511-4677-8e44-c3df2ed4d22f,bdc2cd4a-df05-46ca-b027-b038039a58ec,Co-Investigator
a3865971-0fd4-4ea3-b2ba-199a34b27f69,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
a3865971-0fd4-4ea3-b2ba-199a34b27f69,09ec1bda-4550-4a83-8480-fe742d77e882,Principal Investigator
93a0403f-4eba-41c9-b336-0a58745dd919,22ec9269-2fff-4dbf-a9c7-5037559a15ee,Principal Investigator
61a964d6-a6c1-4364-a2b9-0c1504474ad6,605b59ab-91b4-4f8e-bb12-df68ce0491c5,Principal Investigator
61a964d6-a6c1-4364-a2b9-0c1504474ad6,f2136570-f73c-446f-9fb0-6d9e461e2124,Co-Investigator
61a964d6-a6c1-4364-a2b9-0c1504474ad6,0284519c-3320-48a2-8b0d-b4ae9351a403,Co-Investigator
9ad37013-9e66-4805-a8f4-0c98f7820ff8,472021c7-73cc-44ba-a4ef-70cd2bed8601,Principal Investigator
63337a07-1825-4c55-85e3-cf49cbacab88,5c50bbc9-ed3d-417f-ba4d-e484eaf536b3,Co-Investigator
e60e33c0-f4d1-4243-a02d-bacc40c257f8,64730011-f493-4dbb-abf6-b48924ddc794,Principal Investigator
e60e33c0-f4d1-4243-a02d-bacc40c257f8,1c4bfd79-4336-4b17-a672-9acb465f15c0,Co-Investigator
